year,State Code,state_name,Dist Name,Crop,area_1000_ha,production_1000_tons,yield_kg_per_ha
2015,14,CHHATTISGARH,Bastar,SESAMUM,3.2,1.23,384.38
2015,14,CHHATTISGARH,Bastar,SOYABEAN,0.01,0,555.56
2015,14,CHHATTISGARH,Bastar,SUGARCANE,0.34,0.1,298.52
2015,14,CHHATTISGARH,Bastar,SUNFLOWER,0.04,0.01,250
2015,14,CHHATTISGARH,Bastar,WHEAT,0.84,1.75,2083.33
2016,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2016,14,CHHATTISGARH,Bastar,GROUNDNUT,0.07,0.12,1811.59
2016,14,CHHATTISGARH,Bastar,OILSEEDS,0,0,0
2016,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,3.72,2,537.14
2016,14,CHHATTISGARH,Bastar,RICE,656.26,1294.97,1973.24
2016,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
2016,14,CHHATTISGARH,Bastar,SESAMUM,3.01,1.4,465.74
2016,14,CHHATTISGARH,Bastar,SOYABEAN,0.01,0.01,1000
2016,14,CHHATTISGARH,Bastar,SUGARCANE,0.9,0.2,218.24
2016,14,CHHATTISGARH,Bastar,SUNFLOWER,0.04,0,45.45
2016,14,CHHATTISGARH,Bastar,WHEAT,0.67,1.53,2265.58
2017,14,CHHATTISGARH,Bastar,COTTON,0,0,0
2017,14,CHHATTISGARH,Bastar,GROUNDNUT,0.06,0.08,1410.71
2017,14,CHHATTISGARH,Bastar,OILSEEDS,0,0,0
2017,14,CHHATTISGARH,Bastar,RAPESEED AND MUSTARD,2.82,1.24,440.85
2017,14,CHHATTISGARH,Bastar,RICE,660.36,801.82,1214.23
2017,14,CHHATTISGARH,Bastar,SAFFLOWER,0,0,0
2017,14,CHHATTISGARH,Bastar,SESAMUM,2.7,0.76,281.79
2017,14,CHHATTISGARH,Bastar,SOYABEAN,0.02,0.01,380.95
2017,14,CHHATTISGARH,Bastar,SUGARCANE,0.72,0.11,152.5
2017,14,CHHATTISGARH,Bastar,SUNFLOWER,0.08,0,48.19
2017,14,CHHATTISGARH,Bastar,WHEAT,1.24,2.22,1783.13
2010,14,CHHATTISGARH,Raipur,COTTON,0,0,0
2010,14,CHHATTISGARH,Raipur,GROUNDNUT,6.2,9.51,1533.87
2010,14,CHHATTISGARH,Raipur,OILSEEDS,19.4,14.85,765.46
2010,14,CHHATTISGARH,Raipur,RAPESEED AND MUSTARD,4.1,1.7,414.63
2010,14,CHHATTISGARH,Raipur,RICE,915.4,1521.13,1661.71
2010,14,CHHATTISGARH,Raipur,SAFFLOWER,0.2,0.1,500
2010,14,CHHATTISGARH,Raipur,SESAMUM,3.39,1.35,398.23
2010,14,CHHATTISGARH,Raipur,SOYABEAN,0.5,0.8,1600
2010,14,CHHATTISGARH,Raipur,SUGARCANE,0.13,0.04,307.69
2010,14,CHHATTISGARH,Raipur,SUNFLOWER,0.72,0.28,388.89
2010,14,CHHATTISGARH,Raipur,WHEAT,11.3,15.2,1345.13
2011,14,CHHATTISGARH,Raipur,COTTON,0,0,0
2011,14,CHHATTISGARH,Raipur,GROUNDNUT,6.14,8.06,1312.7
2011,14,CHHATTISGARH,Raipur,OILSEEDS,18.97,13.87,731.15
2011,14,CHHATTISGARH,Raipur,RAPESEED AND MUSTARD,4.76,2.32,487.39
2011,14,CHHATTISGARH,Raipur,RICE,958.01,1421.37,1483.67
2011,14,CHHATTISGARH,Raipur,SAFFLOWER,0.19,0.05,263.16
2011,14,CHHATTISGARH,Raipur,SESAMUM,3,1.05,350
2011,14,CHHATTISGARH,Raipur,SOYABEAN,0.48,0.44,916.67
2011,14,CHHATTISGARH,Raipur,SUGARCANE,0.13,0.07,538.46
2011,14,CHHATTISGARH,Raipur,SUNFLOWER,0.71,0.51,718.31
2011,14,CHHATTISGARH,Raipur,WHEAT,10.54,17.89,1697.34
2012,14,CHHATTISGARH,Raipur,COTTON,0,0,0
2012,14,CHHATTISGARH,Raipur,GROUNDNUT,6.54,9.58,1464.83
2012,14,CHHATTISGARH,Raipur,OILSEEDS,19.22,14.17,737.25
2012,14,CHHATTISGARH,Raipur,RAPESEED AND MUSTARD,3.55,1.83,515.49
2012,14,CHHATTISGARH,Raipur,RICE,993.68,1974.69,1987.25
2012,14,CHHATTISGARH,Raipur,SAFFLOWER,0.13,0.03,230.77
2012,14,CHHATTISGARH,Raipur,SESAMUM,3.14,0.9,286.62
2012,14,CHHATTISGARH,Raipur,SOYABEAN,0.49,0.94,1918.37
2012,14,CHHATTISGARH,Raipur,SUGARCANE,0.22,0.08,363.64
